shortcode;url;likes;comments;tags;
BXInLJjgcpo;https://instagram.fbru2-1.fna.fbcdn.net/vp/921db73b5d1a2a05459425c7adc2ee03/5C191D8D/t51.2885-15/e35/20398199_489795631358456_3880428644706811904_n.jpg;1724621;8975;grass,outdoor,mammal,laying,animal,brown,lying,dog;
BXI0lXnAT3s;https://instagram.fbru2-1.fna.fbcdn.net/vp/ccd04a752d4ee5feda90ee756d363a40/5C354F14/t51.2885-15/e35/20482351_2011944699034457_7700792352167690240_n.jpg;918886;3999;tree,outdoor,fountain,sprinkler system;
BXBTJXyD2wF;https://instagram.fbru2-1.fna.fbcdn.net/vp/19f04daad5a1ce247e87129f593bf9c8/5C057270/t51.2885-15/e35/20393882_1508982705789885_1792818288217030656_n.jpg;842924;5967;pan,several,arranged;
BXRzi4PjFeX;https://instagram.fbru2-1.fna.fbcdn.net/vp/bec42d1b44b7738ce27c7b33b9746bd4/5C0616FA/t51.2885-15/e35/20482543_121689721797687_9026908541834756096_n.jpg;2044597;9476;outdoor,plant,flower;
BXOSJBShVgf;https://instagram.fbru2-1.fna.fbcdn.net/vp/bf9124a335f235da23fc3c74685a81a4/5C00C135/t51.2885-15/e35/20184812_254546545056982_601584051832225792_n.jpg;612591;2300;person,plant,palm;
BXO2vqgDxjN;https://instagram.fbru2-1.fna.fbcdn.net/vp/7391069cd5e90ce056f51cbf75ff4b0e/5BFD18AD/t51.2885-15/e35/18381720_1361326430649608_8214796901233459200_n.jpg;786069;3473;building,outdoor,person,sport,dancer;
BXLLfJgD_-x;https://instagram.fbru2-1.fna.fbcdn.net/vp/877669f4c8ac5f89f3ac526026ffc148/5C3BA36E/t51.2885-15/e35/20398605_346278135804708_8596720597378007040_n.jpg;961781;6491;tree,outdoor,horse,abstract,silhouette;
BXLEdRgDJgL;https://instagram.fbru2-1.fna.fbcdn.net/vp/980b790e9e4bd5a4195140d5f7b1450f/5C185E83/t51.2885-15/e35/20482562_318356505243393_2194522073991217152_n.jpg;1318498;4886;water,swimming,reef,ocean floor;
BXRT4lfDuMU;https://instagram.fbru2-1.fna.fbcdn.net/vp/baf06e3b2556f7343c3d583b20b3e020/5BF9EF06/t51.2885-15/e35/20478781_257280848122063_8944568353708572672_n.jpg;665972;3132;kite,outdoor,ground,hula-hoop,flying,little,person,preparing,young,pulling,girl,getting,attached,trying,toddler,colorful;
BXPAZg-Dac_;https://instagram.fbru2-1.fna.fbcdn.net/vp/e3e9b6738d5b74b2ffbac1ea36358d64/5BF9588E/t51.2885-15/e35/20482545_783220168505332_9103618977023655936_n.jpg;779374;5470;person,wall,clothing,dress,beautiful;
BXWcEHfDc_h;https://instagram.fbru2-1.fna.fbcdn.net/vp/effaad23f7ec285037692b60b62b61b3/5C035D85/t51.2885-15/e35/20590227_123112268313361_3297720162391687168_n.jpg;566373;6218;person;
BXOdhP3hjQJ;https://instagram.fbru2-1.fna.fbcdn.net/vp/e99ce3c8803b6716b4d0486e6267e13f/5BF8F74C/t51.2885-15/e35/20582648_1798881417091144_124291354204307456_n.jpg;661715;2647;sky,outdoor,person;
BXV_OcXDGlK;https://instagram.fbru2-1.fna.fbcdn.net/vp/5a229f3f465e598f2fe58afe17a9d05a/5C0351B1/t51.2885-15/e35/20582510_733413526851388_8748403169937063936_n.jpg;844904;4518;outdoor,beach,group,people,sport,shore,sandy,several;
BXai1tAjzdh;https://instagram.fbru2-1.fna.fbcdn.net/vp/81311e2d43c615f01fb7efafb065dc09/5BF7B46E/t51.2885-15/e35/20590258_262134634287486_5694224055708680192_n.jpg;1007870;3168;sky,outdoor,tree;
BXYvp17hwUj;https://instagram.fbru2-1.fna.fbcdn.net/vp/61edf6690d66032d95c0dedb3672860e/5C0B166D/t51.2885-15/e35/20634687_766133046845089_7005077971715227648_n.jpg;1206282;5320;plate,food,dish,several;
BXgc9wRh3Hv;https://instagram.fbru2-1.fna.fbcdn.net/vp/2df94555a1434648e595d65f290c60c1/5C00C318/t51.2885-15/e35/20590277_499045210455333_5087675769006587904_n.jpg;916603;3334;sky,outdoor,skating,ground,road,person,young,board,trick,doing,cement,curb;
BXgxkfljnpX;https://instagram.fbru2-1.fna.fbcdn.net/vp/e8eab6d8de3e00f788613c4c01222789/5C187AD6/t51.2885-15/e35/20688472_138647806725954_4214174399906971648_n.jpg;1228822;4438;person,wall,food,plate;
BXapczujbbL;https://instagram.fbru2-1.fna.fbcdn.net/vp/8e4b28d7974da05f117e5c487a69e21d/5BFBAA14/t51.2885-15/e35/20633280_177088602833124_8048723143100989440_n.jpg;831755;3484;person;
BXdNES0jIbs;https://instagram.fbru2-1.fna.fbcdn.net/vp/79e9aed2e5b116692d9e1e71f2fffb5f/5C168E9A/t51.2885-15/e35/20590192_701578706704555_5119568254821466112_n.jpg;1308590;7814;tree,outdoor,forest,surrounded,traveling,wooded;
BXhQ3IZjkeH;https://instagram.fbru2-1.fna.fbcdn.net/vp/87e44688b42aeae8a0843101e982265f/5C07DCE5/t51.2885-15/e35/20633302_790233281157211_3664871687888830464_n.jpg;1008588;6327;food,plate,indoor,different,decorated,several,arranged,variety;
BXg3drzjIBn;https://instagram.fbru2-1.fna.fbcdn.net/vp/09b087bc4301c4865f967ddbb03bb331/5C0CC2F7/t51.2885-15/e35/20634028_1637774269627293_6845140046811496448_n.jpg;927332;4221;sky,outdoor,ground,mountain;
BXYbdcNBA7T;https://instagram.fbru2-1.fna.fbcdn.net/vp/9b757054b0bcb77d54451bd12d0308ed/5BFE78BC/t51.2885-15/e35/20582464_851753564983398_7757980013512622080_n.jpg;700857;2842;striped;
BXa8HvKD8W7;https://instagram.fbru2-1.fna.fbcdn.net/vp/37f373ad9c0d4172f2ca545e07584a4f/5C07A3CE/t51.2885-15/e35/20582755_1358044077646510_3203493411755655168_n.jpg;795369;5402;person,outdoor,people,group,crowd,raft;
BXjb5KsDo4v;https://instagram.fbru2-1.fna.fbcdn.net/vp/673387ecc6369d72bd3598279273350f/5C015493/t51.2885-15/e35/20633398_275718992834070_33471929973211136_n.jpg;681113;2930;several;
BXsduTUDDJF;https://instagram.fbru2-1.fna.fbcdn.net/vp/84f4cef9905503e9b7bd3f596550e88d/5C3AED13/t51.2885-15/e35/20766180_1162475097190304_7742928124530130944_n.jpg;987220;4155;outdoor,plant,flower,field;
BXqnJ-bDyY-;https://instagram.fbru2-1.fna.fbcdn.net/vp/282ab43091c80d29a51fdd703d573912/5C01E9E3/t51.2885-15/e35/20688129_512015575807853_7866274585929318400_n.jpg;604268;2493;pink;
BXj7u5rD-Tm;https://instagram.fbru2-1.fna.fbcdn.net/vp/74632402f248d14663187ea5accbf9f9/5BF7FBE3/t51.2885-15/e35/20686601_481402862220078_3660417514745102336_n.jpg;1249033;7201;water,arch;
BXsidqdjyju;https://instagram.fbru2-1.fna.fbcdn.net/vp/fad142b9b9be5d49d498497151041c21/5C153102/t51.2885-15/e35/20688211_338828329873190_7456073907439665152_n.jpg;1004529;3316;outdoor,tree,ground,plant,shade,dirt,day;
BXlSR0OB5IK;https://instagram.fbru2-1.fna.fbcdn.net/vp/acb6220d2944bd2ae3555d00662e0d28/5C05B2DC/t51.2885-15/e35/20635339_513772838964836_8691185808893280256_n.jpg;740284;5982;building,outdoor,cement;
BXn4scyhQxV;https://instagram.fbru2-1.fna.fbcdn.net/vp/6afd123da88c852b758e315aacb92f57/5C37EDCA/t51.2885-15/e35/20687954_200640153804369_6179168310588866560_n.jpg;611942;6973;person,hand;
BXitSKWjq5q;https://instagram.fbru2-1.fna.fbcdn.net/vp/78ab49f430886c5248c030fd11b175bc/5C075C1B/t51.2885-15/e35/20686498_2007654882803452_4475861809449926656_n.jpg;887653;7035;dog,sky,tree,outdoor,mammal,animal,brown,tied;
BXqx8DMBod9;https://instagram.fbru2-1.fna.fbcdn.net/vp/a7dea052b3d31020295ae9b79db69a0a/5C07E149/t51.2885-15/e35/20688073_230330990823978_3037104179685359616_n.jpg;1209507;5151;person,hand;
